33MYNK3,Chassis PSU.Slot.1,0.3d.67,Chassis PSU.Slot.2,0.3d.67,Integrated Dell Remote Access Controller,5.10.00.00,Intel(R) Gigabit I350-t LOM - CC:48:3A:12:31:DC,20.5.13,Intel(R) Ethernet Converged Network Adapter X710 - 3C:FD:FE:99:20:31,20.5.13,Intel(R) Ethernet Server Adapter X710-DA2 for OCP - 3C:FD:FE:99:20:30,20.5.13,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:5B:F1:DF,21.81.3,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:5B:F1:DE,21.81.3,PERC H730P Mini,25.5.9.0001,BOSS-S1,2.6.13.3024,BIOS,2.12.2,Lifecycle Controller,5.10.00.00,System CPLD,1.1.0,"Dell 64 Bit uEFI Diagnostics, version 4301, 4301A61, 4301.62",4301A61,"Dell OS Driver Pack, 21.07.06, A00",21.07.06,"OS COLLECTOR, v6.0, A00",6,"Dell EMC iDRAC Service Module Embedded Package v4.1.0.0, A00",4.1.0.0,Backplane 1,4.36,Disk 0 in Backplane 1 of RAID Controller in Mezzanine 1,J404,Disk 1 in Backplane 1 of RAID Controller in Mezzanine 1,J404,Disk 2 in Backplane 1 of RAID Controller in Mezzanine 1,J404,Disk 0 on Integrated AHCI controller 1,J004,Disk 1 on Integrated AHCI controller 1,J004,Chassis CM Embedded,3.23
38WJQJ3,Chassis PSU.Slot.1,0.3d.67,Chassis PSU.Slot.2,0.3d.67,Integrated Dell Remote Access Controller,5.10.00.00,Intel(R) Ethernet Server Adapter X710-DA2 for OCP - 3C:FD:FE:96:F9:D0,20.5.13,Intel(R) Ethernet Converged Network Adapter X710 - 3C:FD:FE:96:F9:D1,20.5.13,Intel(R) Gigabit I350-t LOM - CC:48:3A:10:9F:00,20.5.13,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:76:50,21.81.3,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:76:51,21.81.3,PERC H730P Mini,25.5.9.0001,BOSS-S1,2.6.13.3024,BIOS,2.12.2,Lifecycle Controller,5.10.00.00,System CPLD,1.1.0,"Dell 64 Bit uEFI Diagnostics, version 4301, 4301A61, 4301.62",4301A61,"Dell OS Driver Pack, 21.07.06, A00",21.07.06,"OS COLLECTOR, v6.0, A00",6,"Dell EMC iDRAC Service Module Embedded Package v4.1.0.0, A00",4.1.0.0,Backplane 1,4.36,Disk 0 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 1 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 2 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 0 on Integrated AHCI controller 1,J004,Disk 1 on Integrated AHCI controller 1,J004,Chassis CM Embedded,3.23
3MZJQJ3,Chassis PSU.Slot.1,0.3d.67,Chassis PSU.Slot.2,0.3d.67,Integrated Dell Remote Access Controller,5.10.00.00,Intel(R) Ethernet Server Adapter X710-DA2 for OCP - 3C:FD:FE:96:FF:10,20.5.13,Intel(R) Ethernet Converged Network Adapter X710 - 3C:FD:FE:96:FF:11,20.5.13,Intel(R) Gigabit I350-t LOM - CC:48:3A:10:6C:74,20.5.13,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:7E:48,21.81.3,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:7E:49,21.81.3,PERC H730P Mini,25.5.9.0001,BOSS-S1,2.6.13.3024,BIOS,2.12.2,Lifecycle Controller,5.10.00.00,System CPLD,1.1.0,"Dell 64 Bit uEFI Diagnostics, version 4301, 4301A61, 4301.62",4301A61,"Dell OS Driver Pack, 21.07.06, A00",21.07.06,"OS COLLECTOR, v6.0, A00",6,"Dell EMC iDRAC Service Module Embedded Package v4.1.0.0, A00",4.1.0.0,Backplane 1,4.36,Disk 0 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 1 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 2 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 0 on Integrated AHCI controller 1,J004,Disk 1 on Integrated AHCI controller 1,J004,Chassis CM Embedded,3.23
417CRJ3,Chassis PSU.Slot.1,0.3d.67,Chassis PSU.Slot.2,0.3d.67,Integrated Dell Remote Access Controller,5.10.00.00,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:7D:0E,21.81.3,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:7D:0F,21.81.3,Intel(R) Ethernet Server Adapter X710-DA2 for OCP - 3C:FD:FE:97:4B:D0,20.5.13,Intel(R) Ethernet Converged Network Adapter X710 - 3C:FD:FE:97:4B:D1,20.5.13,Intel(R) Gigabit I350-t LOM - CC:48:3A:11:32:B5,20.5.13,PERC H730P Mini,25.5.9.0001,BOSS-S1,2.6.13.3024,BIOS,2.12.2,Lifecycle Controller,5.10.00.00,System CPLD,1.1.0,"Dell 64 Bit uEFI Diagnostics, version 4301, 4301A61, 4301.62",4301A61,"Dell OS Driver Pack, 21.07.06, A00",21.07.06,"OS COLLECTOR, v6.0, A00",6,"Dell EMC iDRAC Service Module Embedded Package v4.1.0.0, A00",4.1.0.0,Backplane 1,4.36,Disk 0 in Backplane 1 of RAID Controller in Mezzanine 1,DZ00,Disk 1 in Backplane 1 of RAID Controller in Mezzanine 1,DZ00,Disk 2 in Backplane 1 of RAID Controller in Mezzanine 1,DZ00,Disk 0 on Integrated AHCI controller 1,J004,Disk 1 on Integrated AHCI controller 1,J004,Chassis CM Embedded,3.23
48WJQJ3,Chassis PSU.Slot.1,0.3d.67,Chassis PSU.Slot.2,0.3d.67,Integrated Dell Remote Access Controller,5.10.00.00,Intel(R) Ethernet Server Adapter X710-DA2 for OCP - 3C:FD:FE:96:F1:30,20.5.13,Intel(R) Ethernet Converged Network Adapter X710 - 3C:FD:FE:96:F1:31,20.5.13,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:7C:C6,21.81.3,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:7C:C7,21.81.3,Intel(R) Gigabit I350-t LOM - CC:48:3A:10:01:C8,20.5.13,PERC H730P Mini,25.5.9.0001,BOSS-S1,2.6.13.3024,BIOS,2.12.2,Lifecycle Controller,5.10.00.00,System CPLD,1.1.0,"Dell 64 Bit uEFI Diagnostics, version 4301, 4301A61, 4301.62",4301A61,"Dell OS Driver Pack, 21.07.06, A00",21.07.06,"OS COLLECTOR, v6.0, A00",6,"Dell EMC iDRAC Service Module Embedded Package v4.1.0.0, A00",4.1.0.0,Backplane 1,4.36,Disk 0 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 1 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 2 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 0 on Integrated AHCI controller 1,J004,Disk 1 on Integrated AHCI controller 1,J004,Chassis CM Embedded,3.23
4MZJQJ3,Chassis PSU.Slot.1,0.3d.67,Chassis PSU.Slot.2,0.3d.67,Integrated Dell Remote Access Controller,5.10.00.00,Intel(R) Gigabit I350-t LOM - CC:48:3A:10:6E:D6,20.5.13,Intel(R) Ethernet Converged Network Adapter X710 - 3C:FD:FE:96:F1:D1,20.5.13,Intel(R) Ethernet Server Adapter X710-DA2 for OCP - 3C:FD:FE:96:F1:D0,20.5.13,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:72:A7,21.81.3,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:72:A6,21.81.3,PERC H730P Mini,25.5.9.0001,BOSS-S1,2.6.13.3024,BIOS,2.12.2,Lifecycle Controller,5.10.00.00,System CPLD,1.1.0,"Dell 64 Bit uEFI Diagnostics, version 4301, 4301A61, 4301.62",4301A61,"Dell OS Driver Pack, 21.07.06, A00",21.07.06,"OS COLLECTOR, v6.0, A00",6,"Dell EMC iDRAC Service Module Embedded Package v4.1.0.0, A00",4.1.0.0,Backplane 1,4.36,Disk 0 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 1 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 2 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 0 on Integrated AHCI controller 1,J004,Disk 1 on Integrated AHCI controller 1,J004,Chassis CM Embedded,3.23
517CRJ3,Chassis PSU.Slot.1,0.3d.67,Chassis PSU.Slot.2,0.3d.67,Integrated Dell Remote Access Controller,5.10.00.00,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:79:65,21.81.3,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:79:64,21.81.3,Intel(R) Gigabit I350-t LOM - CC:48:3A:11:34:73,20.5.13,Intel(R) Ethernet Converged Network Adapter X710 - 3C:FD:FE:97:46:61,20.5.13,Intel(R) Ethernet Server Adapter X710-DA2 for OCP - 3C:FD:FE:97:46:60,20.5.13,PERC H730P Mini,25.5.9.0001,BOSS-S1,2.6.13.3024,BIOS,2.12.2,Lifecycle Controller,5.10.00.00,System CPLD,1.1.0,"Dell 64 Bit uEFI Diagnostics, version 4301, 4301A61, 4301.62",4301A61,"Dell OS Driver Pack, 21.07.06, A00",21.07.06,"OS COLLECTOR, v6.0, A00",6,"Dell EMC iDRAC Service Module Embedded Package v4.1.0.0, A00",4.1.0.0,Backplane 1,4.36,Disk 0 in Backplane 1 of RAID Controller in Mezzanine 1,DZ00,Disk 1 in Backplane 1 of RAID Controller in Mezzanine 1,DZ00,Disk 2 in Backplane 1 of RAID Controller in Mezzanine 1,DZ00,Disk 0 on Integrated AHCI controller 1,J004,Disk 1 on Integrated AHCI controller 1,J004,Chassis CM Embedded,3.23
58WJQJ3,Chassis PSU.Slot.1,0.3d.67,Chassis PSU.Slot.2,0.3d.67,Integrated Dell Remote Access Controller,5.10.00.00,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:7C:FB,21.81.3,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:7C:FA,21.81.3,Intel(R) Ethernet Converged Network Adapter X710 - 3C:FD:FE:96:EF:71,20.5.13,Intel(R) Ethernet Server Adapter X710-DA2 for OCP - 3C:FD:FE:96:EF:70,20.5.13,Intel(R) Gigabit I350-t LOM - CC:48:3A:10:9E:33,20.5.13,PERC H730P Mini,25.5.9.0001,BOSS-S1,2.6.13.3024,BIOS,2.12.2,Lifecycle Controller,5.10.00.00,System CPLD,1.1.0,"Dell 64 Bit uEFI Diagnostics, version 4301, 4301A61, 4301.62",4301A61,"Dell OS Driver Pack, 21.07.06, A00",21.07.06,"OS COLLECTOR, v6.0, A00",6,"Dell EMC iDRAC Service Module Embedded Package v4.1.0.0, A00",4.1.0.0,Backplane 1,4.36,Disk 0 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 1 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 2 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 0 on Integrated AHCI controller 1,J004,Disk 1 on Integrated AHCI controller 1,J004,Chassis CM Embedded,3.23
5BWJQJ3,Chassis PSU.Slot.1,0.3d.67,Chassis PSU.Slot.2,0.3d.67,Integrated Dell Remote Access Controller,5.10.00.00,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:6E:BB,21.81.3,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:6E:BA,21.81.3,Intel(R) Ethernet Converged Network Adapter X710 - 3C:FD:FE:96:FD:B1,20.5.13,Intel(R) Ethernet Server Adapter X710-DA2 for OCP - 3C:FD:FE:96:FD:B0,20.5.13,Intel(R) Gigabit I350-t LOM - CC:48:3A:10:6E:8D,20.5.13,PERC H730P Mini,25.5.9.0001,BOSS-S1,2.6.13.3024,BIOS,2.12.2,Lifecycle Controller,5.10.00.00,System CPLD,1.1.0,"Dell 64 Bit uEFI Diagnostics, version 4301, 4301A61, 4301.62",4301A61,"Dell OS Driver Pack, 21.07.06, A00",21.07.06,"OS COLLECTOR, v6.0, A00",6,"Dell EMC iDRAC Service Module Embedded Package v4.1.0.0, A00",4.1.0.0,Backplane 1,4.36,Disk 0 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 1 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 2 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 0 on Integrated AHCI controller 1,J004,Disk 1 on Integrated AHCI controller 1,J004,Chassis CM Embedded,3.23
5CWJQJ3,Chassis PSU.Slot.1,0.3d.67,Chassis PSU.Slot.2,0.3d.67,Integrated Dell Remote Access Controller,5.10.00.00,Intel(R) Gigabit I350-t LOM - CC:48:3A:10:6C:5A,20.5.13,Intel(R) Ethernet Server Adapter X710-DA2 for OCP - 3C:FD:FE:96:E7:20,20.5.13,Intel(R) Ethernet Converged Network Adapter X710 - 3C:FD:FE:96:E7:21,20.5.13,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:76:CE,21.81.3,Broadcom Gigabit Ethernet BCM5720 - E4:3D:1A:48:76:CF,21.81.3,PERC H730P Mini,25.5.9.0001,BOSS-S1,2.6.13.3024,BIOS,2.12.2,Lifecycle Controller,5.10.00.00,System CPLD,1.1.0,"Dell 64 Bit uEFI Diagnostics, version 4301, 4301A61, 4301.62",4301A61,"Dell OS Driver Pack, 21.07.06, A00",21.07.06,"OS COLLECTOR, v6.0, A00",6,"Dell EMC iDRAC Service Module Embedded Package v4.1.0.0, A00",4.1.0.0,Backplane 1,4.36,Disk 0 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 1 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 2 in Backplane 1 of RAID Controller in Mezzanine 1,DL69,Disk 0 on Integrated AHCI controller 1,J004,Disk 1 on Integrated AHCI controller 1,J004,Chassis CM Embedded,3.23
